,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round
0,train,0,0.55612,0.94528,0.0050698072719573975,5.4,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
1,test,0,0.5298,0.9391,0.0053307217359542846,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
2,train,1,,,,4.9,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
3,test,1,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
4,train,2,,,,5.1,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
5,test,2,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
6,train,3,,,,5.2,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
7,test,3,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
8,train,4,,,,5.0,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
9,test,4,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
10,train,5,0.56798,0.94798,0.0049468723487854005,5.0,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
11,test,5,0.5413,0.9408,0.0052371141314506535,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
12,train,6,,,,4.9,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
13,test,6,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
14,train,7,0.55142,0.94596,0.005069502186775207,5.1,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
15,test,7,0.523,0.9399,0.005362642049789429,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
0,train,0,0.56842,0.94666,0.0049554550766944885,4.9,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
1,test,0,0.5375,0.9413,0.005251417195796967,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
2,train,1,,,,4.9,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
3,test,1,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
4,train,2,,,,5.1,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
5,test,2,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
6,train,3,,,,5.0,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
7,test,3,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
8,train,4,,,,4.8,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
9,test,4,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
10,train,5,0.57332,0.94862,0.004894360842704773,4.9,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
11,test,5,0.5444,0.941,0.005196580874919891,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
12,train,6,,,,5.1,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
13,test,6,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
14,train,7,0.5739,0.94926,0.004908244097232819,5.1,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
15,test,7,0.5413,0.9425,0.005221285855770111,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
0,train,0,0.5554,0.94584,0.005025910699367523,5.2,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
1,test,0,0.5264,0.9361,0.005322057950496673,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
2,train,1,,,,5.1,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
3,test,1,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
4,train,2,,,,5.1,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
5,test,2,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
6,train,3,,,,5.0,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,1
