,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round,train_strategy,model_strategy
0,train,0,0.56038,0.94528,0.005033237755298615,5.2,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
1,test,0,0.5341,0.9412,0.005289766490459442,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
2,train,1,0.5618,0.9459,0.005038463037014007,5.0,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
3,test,1,0.5357,0.9405,0.0053032546639442445,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
4,train,2,0.56454,0.94094,0.005036137845516205,5.3,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
5,test,2,0.5341,0.9358,0.005301362204551697,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
0,train,0,0.57082,0.94716,0.004934046511650085,5.0,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
1,test,0,0.5419,0.9415,0.005205675458908081,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
2,train,1,0.56842,0.9475,0.004957346460819244,4.9,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
3,test,1,0.5377,0.942,0.0052271976947784425,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
4,train,2,0.567,0.94714,0.0049464564037322994,5.0,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
5,test,2,0.5394,0.9415,0.0052236905932426456,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
0,train,0,0.56938,0.94648,0.004944591143131256,5.0,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
1,test,0,0.5439,0.9396,0.005228502678871155,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
2,train,1,0.57394,0.94738,0.004906528446674347,4.9,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
3,test,1,0.5476,0.9415,0.0051886158347129825,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
4,train,2,0.56746,0.94698,0.004953467090129852,5.0,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
5,test,2,0.5405,0.9402,0.0052338502407073976,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
0,train,0,0.56788,0.94714,0.0049376522827148436,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
1,test,0,0.5407,0.941,0.00522722373008728,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
2,train,1,0.57762,0.94754,0.004873498694896698,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
3,test,1,0.5461,0.9433,0.005165305578708649,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
4,train,2,0.56806,0.94524,0.004953497610092163,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
5,test,2,0.5411,0.9413,0.005251946449279785,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,layerwise,CNN_layerwise
