,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round
0,train,0,0.58292,0.9519,0.0047845637917518615,5.1,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
1,test,0,0.5426,0.9435,0.005186062169075013,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
2,train,1,,,,5.0,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
3,test,1,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
4,train,2,,,,5.1,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
5,test,2,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
6,train,3,,,,5.0,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
7,test,3,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
8,train,4,,,,4.9,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
9,test,4,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
10,train,5,0.58828,0.95342,0.00470934114575386,5.1,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
11,test,5,0.5507,0.9437,0.005129640793800354,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
12,train,6,,,,5.2,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
13,test,6,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
14,train,7,0.58018,0.95196,0.00478135281085968,4.9,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
15,test,7,0.543,0.9424,0.00520789201259613,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
0,train,0,0.59006,0.95316,0.0047001388740539555,4.9,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
1,test,0,0.5515,0.943,0.005127943611145019,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
2,train,1,,,,5.1,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
3,test,1,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
4,train,2,,,,5.0,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
5,test,2,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
6,train,3,,,,5.1,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
7,test,3,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
8,train,4,,,,5.2,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
9,test,4,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
10,train,5,0.59524,0.95362,0.00466036118388176,4.9,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
11,test,5,0.5565,0.9429,0.005087121689319611,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
12,train,6,,,,4.9,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
13,test,6,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
14,train,7,0.5942,0.95428,0.004678479657173156,5.0,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
15,test,7,0.5527,0.9437,0.005114608037471771,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
0,train,0,0.58,0.952,0.004778124635219574,5.2,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
1,test,0,0.5403,0.9392,0.005194148230552673,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
2,train,1,,,,5.1,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
3,test,1,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
4,train,2,,,,4.9,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
5,test,2,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
6,train,3,,,,5.3,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
7,test,3,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
8,train,4,,,,5.2,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
9,test,4,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
10,train,5,0.5956,0.95548,0.004665241297483444,5.1,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3
