,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round,train_strategy,model_strategy
0,train,0,0.42616,0.89894,0.006403627016544342,5.1,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
1,test,0,0.425,0.8941,0.006417636418342591,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
2,train,1,0.47412,0.91646,0.0059699037075042725,5.1,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
3,test,1,0.4706,0.9095,0.006028003001213074,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
4,train,2,0.49816,0.91832,0.005780390672683716,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
5,test,2,0.4898,0.9157,0.005858017206192017,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
0,train,0,0.48488,0.91724,0.005913265810012817,5.0,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
1,test,0,0.4799,0.9154,0.005980348575115204,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
2,train,1,0.4906,0.92002,0.00579593389749527,5.0,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
3,test,1,0.4842,0.9127,0.005891005504131317,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
4,train,2,0.4971,0.92408,0.005750270547866821,5.1,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
5,test,2,0.4805,0.9183,0.005852082109451294,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
0,train,0,0.5048,0.92802,0.005619959309101105,5.2,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
1,test,0,0.4918,0.9255,0.005715103161334991,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
2,train,1,0.50434,0.92872,0.005614286334514618,5.0,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
3,test,1,0.4868,0.9249,0.00572552729845047,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
4,train,2,0.52666,0.93244,0.005426384212970733,5.1,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
5,test,2,0.5145,0.9252,0.005554524552822113,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
0,train,0,0.52888,0.9335,0.005412008805274963,5.0,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
1,test,0,0.5111,0.9282,0.0055663241147995,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
2,train,1,0.5306,0.9349,0.005374108564853668,5.1,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
3,test,1,0.5142,0.9309,0.005535725939273834,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
4,train,2,0.52932,0.93404,0.00537160668849945,5.1,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
5,test,2,0.5084,0.9274,0.005542636585235595,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0,backprop,CNN_backprop
