,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round,train_strategy,model_strategy
0,train,0,0.48992,0.91888,0.005795207719802856,5.0,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
1,test,0,0.4712,0.9104,0.0059973404407501225,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
2,train,1,0.49086,0.91946,0.005777193162441254,5.0,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
3,test,1,0.4749,0.9089,0.005983709549903869,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
4,train,2,0.47542,0.91676,0.005864840731620789,4.9,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
5,test,2,0.4555,0.9083,0.0061282019257545475,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
0,train,0,0.5099,0.92636,0.005561885101795196,5.1,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
1,test,0,0.4892,0.9169,0.005810499906539917,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
2,train,1,0.51236,0.92676,0.005558156485557556,4.9,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
3,test,1,0.4913,0.9182,0.005816056263446808,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
4,train,2,0.51502,0.92738,0.00552545158624649,5.0,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
5,test,2,0.4907,0.9181,0.005786990988254547,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
0,train,0,0.51394,0.9278,0.005519561815261841,5.1,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
1,test,0,0.4918,0.9175,0.005791927671432495,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
2,train,1,0.5136,0.92716,0.005523661754131317,4.9,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
3,test,1,0.489,0.9174,0.005803563046455383,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
4,train,2,0.51686,0.9284,0.005525293061733246,5.0,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
5,test,2,0.492,0.9188,0.005797362685203552,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
0,train,0,0.517,0.92754,0.005508064305782318,5.1,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
1,test,0,0.4941,0.9176,0.00578358883857727,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
2,train,1,0.51588,0.92842,0.005499489078521729,5.1,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
3,test,1,0.4913,0.9182,0.005777065861225128,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
4,train,2,0.5168,0.92826,0.005494878861904144,5.1,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
5,test,2,0.4909,0.9189,0.00578471691608429,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,layerwise,MLP_layerwise
