,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round,train_strategy,model_strategy
0,train,0,0.53644,0.93792,0.005244552206993103,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
1,test,0,0.49,0.9216,0.005762681901454926,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
2,train,1,0.54538,0.93828,0.005221649525165558,4.7,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
3,test,1,0.5009,0.9184,0.005763283240795136,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
4,train,2,0.55618,0.94298,0.005054027850627899,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
5,test,2,0.5053,0.9269,0.005620355796813965,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
0,train,0,0.55892,0.94346,0.005029264824390411,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
1,test,0,0.5115,0.927,0.005580674004554749,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
2,train,1,0.55806,0.94362,0.005042424354553223,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
3,test,1,0.5044,0.9284,0.005630487275123596,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
4,train,2,0.55568,0.94274,0.005065518686771393,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
5,test,2,0.5023,0.9247,0.005657519006729126,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
0,train,0,0.56262,0.9459,0.004983425166606903,4.8,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
1,test,0,0.5018,0.9249,0.0056219496846199035,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
2,train,1,0.56518,0.94632,0.004947644217014313,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
3,test,1,0.5112,0.9246,0.005601227021217346,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
4,train,2,0.55314,0.94432,0.005023066363334655,4.8,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
5,test,2,0.4997,0.9226,0.005732251477241516,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
0,train,0,0.5433,0.93886,0.005195602023601532,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
1,test,0,0.4853,0.9122,0.005895905017852783,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
2,train,1,0.56486,0.9482,0.0049204397630691525,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
3,test,1,0.5048,0.9263,0.005630030989646912,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
4,train,2,0.5641,0.94636,0.004937410161495208,4.9,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
5,test,2,0.5065,0.9271,0.005641350388526916,,4,1052426,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,2,backprop,MLP_backprop
