,type,epoch,top1,top5,loss,time,grad_norm,network_norm,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.95265,0.998,0.0006674049676706394,4.1,18.345613063824718,31.97604766011639,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9476,0.9973,0.0007236682876944542,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9675666666666667,0.9989833333333333,0.00046495262874911227,4.2,26.565524076891975,32.96703863892568,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9595,0.9983,0.0005537670023739338,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9757833333333333,0.9994833333333333,0.00036014175874491533,4.2,33.403751214307775,33.89511851917253,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9661,0.9987,0.00048285008259117603,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9807333333333333,0.9997,0.0002830393548123538,4.2,39.71645086489527,34.951775982551105,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9672,0.9987,0.0004408904291689396,,,,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9850833333333333,0.9997666666666667,0.00022391147840147217,4.2,45.07454952116949,35.91524641295263,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9686,0.9993,0.00041934016421437266,,,,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9880333333333333,0.9998333333333334,0.00018887434642141064,4.2,49.969575025302674,36.80598758662771,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.971,0.9989,0.00039850650280714035,,,,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9898,0.9999333333333333,0.00015939241979892054,4.1,54.86156577790623,37.83137520599432,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9715,0.9989,0.00039348224587738514,,,,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9924166666666666,0.99995,0.00012958079817083974,4.3,59.1850297754405,38.71622135101364,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9729,0.9992,0.000379310155659914,,,,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9940833333333333,0.9999833333333333,0.00010859304036324223,4.4,63.13705600094423,39.54573486178825,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9729,0.9991,0.00037383912429213523,,,,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.99495,0.9999833333333333,9.623500291878978e-05,4.3,66.92121345701057,40.468837746558364,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9719,0.999,0.00039675218723714354,,,,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.99625,1.0,8.222318877621244e-05,4.6,70.44695705128234,41.281030211275024,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9722,0.9991,0.0004052061285823584,,,,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9966833333333334,1.0,7.312407580514749e-05,4.1,73.45876803626471,42.03641836298128,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9719,0.9993,0.00040167732350528243,,,,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9968166666666667,1.0,6.478478374580542e-05,4.1,76.36253672047938,42.91438117631136,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9732,0.9991,0.0003823660606518388,,,,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9976833333333334,1.0,5.595757372987767e-05,4.3,79.17285893425787,43.61185247445333,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9727,0.9992,0.00039177644476294515,,,,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9984666666666666,1.0,4.896477257134393e-05,4.3,81.5667430190487,44.310758336527094,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
