,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round,train_strategy,model_strategy
0,train,0,0.55142,0.94632,0.005053419246673584,4.9,12,17926,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
1,test,0,0.525,0.941,0.005334598040580749,,12,17926,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
2,train,1,0.55914,0.94606,0.005002727890014648,5.3,12,17926,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
3,test,1,0.5321,0.9392,0.0052954728722572324,,12,17926,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
4,train,2,0.55306,0.94604,0.005080844831466675,5.4,12,17926,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
5,test,2,0.5223,0.9392,0.005359108924865723,,12,17926,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
0,train,0,0.54488,0.9393,0.005161247432231903,5.0,13,18256,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
1,test,0,0.5212,0.9286,0.005443532621860504,,13,18256,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
2,train,1,0.54786,0.94212,0.005163082754611969,5.0,13,18256,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
3,test,1,0.5185,0.9345,0.0054527299284935,,13,18256,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
4,train,2,0.55024,0.94338,0.00510877724647522,5.0,13,18256,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
5,test,2,0.5246,0.9388,0.005398648858070373,,13,18256,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
0,train,0,0.56334,0.9481,0.004983097052574157,5.1,14,18586,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
1,test,0,0.5354,0.9388,0.005274709856510162,,14,18586,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
2,train,1,0.547,0.94668,0.005078029360771179,5.0,14,18586,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
3,test,1,0.5222,0.9398,0.005371083104610443,,14,18586,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
4,train,2,0.54546,0.93784,0.005186889081001282,5.0,14,18586,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
5,test,2,0.5225,0.9333,0.0054767457008361815,,14,18586,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
0,train,0,0.57226,0.94722,0.004916739385128021,5.2,15,18916,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
1,test,0,0.545,0.9413,0.005222896409034729,,15,18916,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
2,train,1,0.56862,0.94814,0.004943021967411042,5.2,15,18916,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
3,test,1,0.5406,0.9409,0.005255060791969299,,15,18916,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
4,train,2,0.56398,0.94694,0.00497930871963501,5.1,15,18916,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
5,test,2,0.5371,0.9416,0.005289406490325927,,15,18916,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,3,backprop,CNN_backprop
